cluster,lat,lon,poi_count,cluster_area_km2,education,healthcare,leisure,other,religion,retail,transport,work,cluster_poi_density
67,54.68025528662552,25.27492976075103,1944,7.2579210308568065,66,19,702,32,31,596,298,200,267.84529505558817
71,54.714197223939394,25.293288224090908,660,3.8977172690446023,9,7,90,5,0,253,256,40,169.32988065647393
69,54.69818550651685,25.280760344044946,445,2.601206231856043,13,9,106,4,5,124,148,36,171.07447865926355
2,54.708645471732524,25.17962285075988,329,2.988439587726047,12,7,18,3,3,94,180,12,110.09089872562608
75,54.7074621,25.314427593782383,193,1.1650929167706507,20,12,19,1,1,51,77,12,165.65202416211426
80,54.69865462440477,25.255487280357144,168,0.987880277035411,8,1,32,1,1,50,56,19,170.0610933383155
68,54.72459906538462,25.23913758525641,156,0.9819016742572658,3,2,21,0,1,58,68,3,158.8753783498762
72,54.73776200393701,25.229627363779528,127,0.9438843029256728,1,3,14,2,0,47,53,7,134.55038886264936
98,54.715348821999996,25.247182074,100,0.34962741904990857,3,3,8,1,0,51,32,2,286.01875754408496
21,54.62312793707865,25.1493214752809,89,2.307200434267468,0,0,5,0,0,8,58,18,38.57488871713798
18,54.68815184022988,25.417733731034485,87,1.6798104126641675,11,2,7,0,2,21,41,3,51.7915589426658
129,54.65131250116279,25.274800987209304,86,0.3156773247528391,1,0,5,0,0,38,29,13,272.4300836854027
88,54.739228703614465,25.27229545662651,83,0.30930170407117313,2,0,7,1,1,30,41,1,268.346403875295
4,54.66992772686567,25.096170117910447,67,0.5279114624304867,5,2,5,0,2,27,24,2,126.91522114623965
29,54.754363976923074,25.278729463076925,65,0.8590676894031474,1,12,6,0,1,5,38,2,75.66342070804679
30,54.76668431803279,25.19710688032787,61,1.509238221359795,1,0,1,0,0,13,38,8,40.417741305968356
70,54.71046621016949,25.263313833898305,59,0.08217161369748446,0,0,10,0,0,41,7,1,718.009508943186
17,54.75284332745098,25.263490874509806,51,0.17443133558695018,1,0,3,0,0,5,25,17,292.3786590774433
9,54.652202114000005,25.301411046,50,1.2436584489668232,0,0,3,1,0,5,39,2,40.20396439355018
146,54.724994026666664,25.32031428666667,45,0.18680135381886187,2,3,4,0,0,13,20,3,240.8976117145047
73,54.69307970238095,25.21845031190476,42,0.1285010796482224,0,1,4,0,0,24,13,0,326.84550289364824
83,54.670663399999995,25.240970061538462,39,0.1813233921709644,4,0,4,1,1,13,12,4,215.0853209453972
96,54.677008907692304,25.210948717948718,39,0.1287689930076673,1,0,4,2,1,13,12,6,302.8679427327495
