cluster,lat,lon,poi_count,cluster_area_km2,education,leisure,other,religion,retail,transport,work,seniunija,seniunija_nr,total_ev_score,ev_density,population,young_share,working_share,senior_share,district_area_km2,district_pop_density,jam_score_norm,poi_total,poi_density,dist_to_existing_m,lag_neighborhood_traffic,lag_neighborhood_retail,lag_neighborhood_leisure
67,54.68025528662552,25.27492976075103,1944,7.2579210308568065,66,702,32,31,596,298,200,Senamiestis,16.0,49.278149964128495,6.789568218588229,10158.0,0.2599523155841341,0.6226789971822845,0.1173686872335813,4.406772086999922,2305.0885771847225,0.8726525869713228,1925,267.84529505558817,256.9620382984513,0.8726525869713228,82.11717893679555,96.72191210340684
71,54.714197223939394,25.293288224090908,660,3.8977172690446023,9,90,5,0,253,256,40,Žirmūnai,2.0,72.79051807808483,18.675166271340927,43453.0,0.2329431132248033,0.57021675507591,0.1968401316992866,5.681409273017094,7648.278430911989,0.7461602624238627,653,169.32988065647393,602.2117370766522,0.7461602624238627,64.90978758498167,23.090438271337355
69,54.69818550651685,25.280760344044943,445,2.601206231856043,13,106,4,5,124,148,36,Šnipiškės,3.0,53.66724419683398,20.63167600461294,14652.0,0.2250902961714423,0.6276908259089815,0.1472188779195762,3.1264068279410937,4686.53019468011,0.690080065183502,436,171.07447865926355,386.91988899686186,0.690080065183502,47.67019180617681,40.75032525366727
2,54.70864547173253,25.17962285075988,329,2.988439587726047,12,18,3,3,94,180,12,Pilaitė,12.0,17.911535279077707,5.993607952673017,21798.0,0.3030134418836208,0.593024277388936,0.1039622807274431,13.933524246549881,1564.4283251164875,0.0201049035317864,322,110.09089872562608,320.7904766115326,0.0201049035317864,31.454542493036023,6.023210264623919
75,54.7074621,25.314427593782383,193,1.1650929167706507,20,19,1,1,51,77,12,Antakalnis,13.0,15.034113091761503,12.903788938510024,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,181,165.65202416211426,127.37563140098102,0.0,43.77333280967786,16.30771222321332
80,54.69865462440477,25.255487280357144,168,0.987880277035411,8,32,1,1,50,56,19,Žvėrynas,6.0,56.42869478513102,57.12098530246121,12089.0,0.3000692520775623,0.5484764542936288,0.1514542936288088,2.6207114544034837,4612.869524299329,0.8713488905968868,167,170.0610933383155,256.64503230415465,0.8713488905968867,295.18402619092103,149.71777676218946
68,54.72459906538462,25.23913758525641,156,0.9819016742572658,3,21,0,1,58,68,3,Pašilaičiai,7.0,50.20935403638494,51.13480845662526,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,154,158.8753783498762,394.4323385874875,0.5002297596491134,183.2893384062106,149.2163123921902
72,54.73776200393701,25.229627363779528,127,0.9438843029256728,1,14,2,0,47,53,7,Pašilaičiai,7.0,48.46011641837176,51.34116148363133,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,124,134.55038886264936,119.04835437331084,0.4113736016647861,126.11201373037763,46.62468646474298
98,54.715348822,25.247182074,100,0.3496274190499085,3,8,1,0,51,32,2,Šeškinė,5.0,76.51465686362471,218.84627090045936,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,97,286.018757544085,40.9056774095669,0.7189901509724219,131.41892640532308,16.43374050329194
21,54.62312793707865,25.1493214752809,89,2.307200434267468,0,5,0,0,8,58,18,Paneriai,20.0,4.521823205008655,1.9598744599076523,8807.0,0.2650714010034735,0.6221536086453107,0.1127749903512157,78.13199109836523,112.71951317498512,0.0581114355229927,89,38.57488871713798,2435.7357045128447,0.0581114355229927,3.467405727383189,2.1671285796144932
18,54.68815184022988,25.417733731034485,87,1.6798104126641675,11,7,0,2,21,41,3,Naujoji Vilnia,14.0,9.537125130982925,5.677500900745764,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604117,0.0,85,51.7915589426658,720.263011782537,0.0,12.501410779264159,4.167136926421387
