cluster,lat,lon,poi_count,cluster_area_km2,education,leisure,other,religion,retail,transport,work,seniunija,seniunija_nr,total_ev_score,ev_density,population,young_share,working_share,senior_share,district_area_km2,district_pop_density,jam_score_norm,poi_total,poi_density,dist_to_existing_m,lag_neighborhood_traffic,lag_neighborhood_retail,lag_neighborhood_leisure,predicted_ev_density,demand_score,svm_label,svm_probability,svm_prediction
138,54.682079481818185,25.25456567272727,11,0.005,0,0,0,0,4,0,5,Naujamiestis,17.0,197.9651841599614,39593.03683199228,20857.0,0.255724122487824,0.6081565246599115,0.1361193528522644,4.89842788506261,4257.896714903543,0.7470964667250806,9,2200.0,266.9164372469818,0.7470964667250806,345.53274904000614,192.79536578225333,35225.13910021935,1.0,-1,0.231153971316558,0
116,54.737779422222225,25.217622688888888,9,0.0050096153630264,0,1,0,0,5,3,0,Pašilaičiai,7.0,167.9760444505963,33530.72686784458,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,9,1796.5451133084468,301.41971985649417,0.4425137670544915,456.2250565597711,106.56863636384053,31036.79258082166,0.8810978004236865,-1,0.3379726502638579,1
90,54.702496725,25.30376055,8,0.005,0,3,0,0,2,3,0,Žirmūnai,2.0,175.6716310601564,35134.32621203128,43453.0,0.2329431132248033,0.57021675507591,0.1968401316992866,5.681409273017094,7648.278430911989,0.7461602624238627,8,1600.0,489.28148249028544,0.7461602624238627,236.74157695615705,238.3707884780785,30415.29944103177,0.8634543459004359,0,0.19084523145452303,0
105,54.69119991428572,25.29829895714286,7,0.005,1,0,0,0,2,1,3,Senamiestis,16.0,130.69268049616787,26138.536099233577,10158.0,0.2599523155841341,0.6226789971822845,0.1173686872335813,4.406772086999922,2305.0885771847225,0.8726525869713228,7,1400.0,646.1346901602938,0.7268555197898308,164.63084054174436,32.94657584190493,26283.56833993901,0.7461593910292136,0,0.19953125880915462,0
127,54.69462623333334,25.225920433333332,6,0.005,1,0,0,0,3,1,0,Karoliniškės,10.0,141.14675373338147,28229.350746676293,24448.0,0.2181765219924264,0.5360159793599933,0.2458074986475802,3.7638223321865,6495.524454204919,0.8197958688104301,5,1200.0,715.8187731129119,0.8197958688104301,415.691804867065,27.419286705049068,24216.14508128373,0.687467692104385,0,0.20018417975610497,0
183,54.72635726666667,25.22603365,6,0.005,0,0,0,0,2,3,0,Pašilaičiai,7.0,125.0778079029912,25015.56158059824,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,5,1200.0,492.7919709027466,0.4172762903103116,212.91408948848056,10.38968917490712,23229.438799386706,0.6594562688112154,0,0.36107342624670113,1
115,54.69700153333333,25.23958805,6,0.005,0,0,0,0,0,4,2,Žvėrynas,6.0,130.49277118417763,26098.554236835524,12089.0,0.3000692520775623,0.5484764542936288,0.1514542936288088,2.6207114544034837,4612.869524299329,0.8713488905968868,6,1200.0,504.2416848540152,0.8713488905968867,169.22428053883368,100.13865871494026,23026.975934086524,0.6537085877382137,0,0.24540344628895336,0
100,54.735112333333326,25.220902183333333,6,0.005,0,1,0,0,2,3,0,Pašilaičiai,7.0,125.0778079029912,25015.56158059824,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,6,1200.0,36.216613739722206,0.4425137670544915,331.9969275898675,106.66023270332256,22883.198554438495,0.6496269181317725,1,0.37777430255941463,1
110,54.724766125,25.34180975,8,0.0051535312559986,0,3,0,0,0,4,0,Antakalnis,13.0,114.7519637606728,22266.666885371844,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,7,1552.333652908027,6.923390390211994,0.0,14.426063571773518,235.49559761391097,22632.331736273365,0.6425051061368962,1,0.45974952012183856,1
191,54.70569664,25.24206174,5,0.005,0,0,0,0,0,5,0,Šeškinė,5.0,127.8578588212446,25571.57176424892,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,5,1000.0,744.9555117972601,0.7103741574659594,57.183183853056626,72.99864358128808,21766.658572484048,0.617929669789395,0,0.27070696652234083,0
178,54.71792614,25.2574935,5,0.005,0,0,0,0,1,4,0,Šeškinė,5.0,127.8578588212446,25571.57176424892,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,5,1000.0,716.4374059540418,0.6207649310306282,191.34797725960496,35.799558139307656,21666.178126095183,0.6150771488638427,0,0.26850748222632176,0
186,54.67114551666666,25.29264781666667,6,0.005,0,0,0,0,3,3,0,Rasos,15.0,109.12997638566756,21825.99527713351,12361.0,0.259793501366535,0.5954296993622836,0.1447767992711812,16.19235341738865,763.3850176914843,1.0,6,1200.0,554.8671578527133,0.6615427172207222,239.70839662071307,24.11390084000654,21590.039013808855,0.6129156495985111,0,0.19084212335563439,0
24,54.64078078571429,25.13547218571429,7,0.005,0,1,0,0,0,6,0,Paneriai,20.0,102.42344902130188,20484.689804260375,8807.0,0.2650714010034735,0.6221536086453107,0.1127749903512157,78.13199109836523,112.71951317498512,0.0581114355229927,7,1400.0,2290.6474186408077,0.0581114355229927,0.0,200.0,21413.550974425052,0.607905363084619,0,0.19092267750038505,0
168,54.7001759,25.244298980000003,5,0.005,0,1,0,0,2,1,1,Žvėrynas,6.0,116.11054405983124,23222.108811966245,12089.0,0.3000692520775623,0.5484764542936288,0.1514542936288088,2.6207114544034837,4612.869524299329,0.8713488905968868,5,1000.0,258.28601090866863,0.837855964723065,129.6015558215387,66.14499572578477,20738.12003452846,0.5887306782671959,-1,0.28634146684802525,0
77,54.724232140000005,25.24968044,5,0.005,0,2,0,0,2,0,1,Fabijoniškės,4.0,115.8842926884991,23176.85853769982,37001.0,0.2531130529765155,0.541589295466958,0.2052976515565265,6.020352359924375,6145.985780882897,0.3385495510819686,5,1000.0,323.2409476593728,0.3644743299996092,176.13452728761982,146.0355936560372,20629.425750323226,0.5856449762094698,-1,0.38190323671320686,1
141,54.715917383333334,25.225034216666668,6,0.005,0,1,0,0,3,2,0,Viršuliškės,9.0,107.44511231357129,21489.022462714256,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,6,1200.0,172.54390383160026,0.5113913145618718,300.7925904763256,86.77576841974846,20376.62946852618,0.5784683890261569,-1,0.40115785242046137,1
118,54.681869840000005,25.25063284,5,0.005,0,2,0,0,1,2,0,Naujamiestis,17.0,111.6718214138832,22334.36428277664,20857.0,0.255724122487824,0.6081565246599115,0.1361193528522644,4.89842788506261,4257.896714903543,0.7470964667250806,5,1000.0,38.334149929163935,0.7470964667250806,409.37437603687704,139.97181847389967,20021.32702261978,0.5683817731892251,1,0.26081485367674484,0
198,54.71324812,25.21225898,5,0.0052205692355496,2,0,0,0,0,3,0,Justiniškės,8.0,122.62688162784804,23489.17830508159,23351.0,0.2363450932990859,0.5186220442698497,0.2450328624310644,2.90271033955168,8044.550529835689,0.2334564301239184,5,957.7499644966628,374.77186790545073,0.2334564301239183,29.645044560845975,44.04626486865272,20021.109343665892,0.5683755935414098,-1,0.2936269954535869,0
190,54.73925336666667,25.216965033333334,6,0.0059553191865243,0,0,1,0,1,4,0,Pašilaičiai,7.0,111.2351065264521,18678.277862613137,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,6,1007.5026731693582,451.1784596604397,0.4425137670544916,469.0160189775143,104.98548132123028,19683.08767095479,0.5587795583987408,0,0.36144430499593255,1
