seniunija,seniunija_nr,jam_score_raw,jam_score_norm
Naujininkai,19,0.0,0.0
Paneriai,20,817.1706377746864,0.05811143552299276
Lazdynai,11,2451.6481541619446,0.17434399506034154
Grigiškės,21,0.0,0.0
Vilkpėdė,18,2100.266545495995,0.14935620334090033
Senamiestis,16,12271.355278582532,0.8726525869713228
Naujamiestis,17,10505.768627095646,0.7470964667250806
Rasos,15,14062.131324416501,1.0
Karoliniškės,10,11528.07716642639,0.8197958688104301
Žvėrynas,6,12253.022528958048,0.8713488905968868
Šnipiškės,3,9703.996500972304,0.690080065183502
Viršuliškės,9,8818.977431684178,0.6271437258142741
Naujoji Vilnia,14,0.0,0.0
Šeškinė,5,10110.533923936244,0.7189901509724219
Justiniškės,8,3282.894978932006,0.23345643012391845
Pilaitė,12,282.7177937287066,0.02010490353178648
Žirmūnai,2,10492.603599265436,0.7461602624238627
Fabijoniškės,4,4760.728247136896,0.33854955108196866
Pašilaičiai,7,6222.686705182514,0.44251376705449164
Antakalnis,13,0.0,0.0
Verkiai,1,0.0,0.0
