osm_type,osm_id,lat,lon,name,amenity,shop,office,building,landuse,tourism,historic
node,31453209,54.6879651,25.2757668,Neringa Restoranas,restaurant,,,,,,
node,32148955,54.6878712,25.2801976,,parking,,,,,,
node,32869222,54.6710312,25.1921158,Circle K 1-2-3,fuel,,,,,,
node,44583604,54.7218202,25.2447701,Iki,,supermarket,,,,,
node,44835334,54.676941,25.2804703,,parking,,,,,,
node,55389132,54.6943997,25.2780955,Best Western Vilnius,,,,,,hotel,
node,266514235,54.687516,25.278459,McDonald's,fast_food,,,,,,
node,266515825,54.6820952,25.2801335,,parking,,,,,,
node,267146837,54.6964118,25.2767679,Iki,,supermarket,,,,,
node,267148892,54.6944308,25.2821218,Holiday Inn Vilnius,,,,,,hotel,
node,267533450,54.679684,25.2784203,Vilniaus Gedimino technikos universiteto Architektūros fakultetas,university,,,,,,
node,267533451,54.7279775,25.348838,Vilniaus Gedimino technikos universiteto Elektronikos fakultetas,university,,,,,,
node,268059143,54.7095264,25.2604451,Maxima XXXX,,supermarket,,,,,
node,268619745,54.7128557,25.2988975,Geras dviratis,,bicycle,,,,,
node,268620182,54.7318761,25.2374064,Umarai,,bicycle,,,,,
node,268620376,54.734829,25.2345542,R. Mališkos dviračių taisykla,,bicycle,,,,,
node,268631673,54.6806297,25.2822638,San Valentino,restaurant,,,,,,
node,268631747,54.6801745,25.279593,Esea House,,pottery,,,,,
node,268631931,54.6815214,25.2808191,Balti drambliai,restaurant,,,,,,
node,268633617,54.686179,25.2793903,Pomodoro Pizza & Pasta,restaurant,,,,,,
node,268633631,54.6860814,25.2793807,Caffeine,cafe,,,,,,
node,268633673,54.685645,25.2793403,Da Antonio,restaurant,,,,,,
node,268636070,54.6864819,25.2857945,Senatorių kolonos,restaurant,,,,,,
node,273153358,54.6920938,25.2206267,Karolina Park Hotel,,,,,,hotel,
node,273153591,54.6925093,25.2213239,Maxima XX,,supermarket,,,,,
node,276234902,54.6828594,25.2586075,Vilniaus Universiteto Medicinos Fakultetas,university,,,,,,
node,303767078,54.6616046,25.2728057,,parking,,,,,,
node,308815274,54.7034247,25.3094469,IKI Neris,,supermarket,,,,,
node,309668683,54.7095339,25.1015217,,parking,,,,,,
node,314627775,54.7167905,25.2289479,Maxima X,,supermarket,,,,,
node,318685181,54.7801905,25.0852229,,parking,,,,,,
node,322064977,54.7236858,25.2496479,Fabeta,,,company,,,,
node,322065260,54.7244601,25.2498104,Maxima X,,supermarket,,,,,
node,322065694,54.7249498,25.2497766,Copy1,,copyshop,,,,,
node,322779034,54.7254822,25.2442294,A5,,,,,,hotel,
node,322783843,54.7227737,25.2537221,IMEXCOM,,car_repair,,,,,
node,322784139,54.7235455,25.2550954,Init,,,telecommunication,,,,
node,322937618,54.6704405,25.2820095,IKI Stotis,,supermarket,,,,,
node,323769223,54.6783558,25.2772884,Tabera,cafe,,,,,,
node,325089725,54.6805282,25.2929064,Užupio kavinė,restaurant,,,,,,
node,325092832,54.682186,25.2913077,Vyninė Saint Germain,restaurant,,,,,,
node,325110896,54.6862102,25.279033,Filipinų Respublikos generalinis konsulatas,,,diplomatic,,,,
node,325111183,54.6844176,25.2773502,Istorijos baras,bar,,,,,,
node,325124121,54.6873763,25.2770298,Vilniaus Mažasis Teatras,theatre,,,,,,
node,325165031,54.6856073,25.2847902,Sue's Indian Raja,restaurant,,,,,,
node,325167470,54.6854387,25.28467,Zoe's Bar & Grill,restaurant,,,,,,
node,325174124,54.6824627,25.2894325,Hotel Narutis,,,,,,hotel,
node,325175308,54.6830866,25.2893825,Aibė,,convenience,,,,,
node,325180285,54.6835756,25.2917904,Shakespeare Boutique Hotel,,,,,,hotel,
node,325183408,54.6830285,25.2906805,Gintaro galerija-muziejus,,,,,,museum,
node,325183533,54.6833738,25.2916966,Adomo Mickevičiaus memorialinis muziejus,,,,,,museum,
node,325194220,54.6819145,25.2924619,Best Eastern Mabre Residence Hotel,,,,,,hotel,
node,325204798,54.673699,25.2882308,City Gate,,,,,,hotel,
node,411301451,54.6895879,25.2114465,Būga Sotu,restaurant,,,,,,
node,425663298,54.6997889,25.2567189,Panorama parking,parking,,,,,,
node,427910141,54.688023,25.2706894,Okupacijų ir laisvės kovų muziejus,,,,,,museum,
node,441284597,54.6807049,25.2664925,American pizza burger,restaurant,,,,,,
node,441284599,54.6779996,25.255261,Čili pica,restaurant,,,,,,
node,441284607,54.6754962,25.2572782,Pizza Jazz,restaurant,,,,,,
node,441292042,54.681325,25.2851865,Cozy,restaurant,,,,,,
node,441297285,54.7363736,25.2944151,,parking,,,,,,
node,441605731,54.687813,25.2599791,IKI Jasinskio,,supermarket,,,,,
node,441900158,54.6794371,25.2676583,IKI Express Vivulskio,,convenience,,,,,
node,444903290,54.6819288,25.2781001,JJ,pub,,,,,,
node,445605454,54.6824497,25.2878461,Universiteto kavinė,cafe,,,,,,
node,461664725,54.7217588,25.244681,Čili pica,restaurant,,,,,,
