object_id,seniunija,nr,area_m2,perimeter_m,centroid_lat,centroid_lon
422,Naujininkai,19,44252349.05489813,32694.553846745166,54.61394962784193,25.25301290822362
423,Paneriai,20,78131991.09836523,69159.13175952046,54.61214892719927,25.1366918114256
424,Lazdynai,11,9955514.253275687,13670.138455336517,54.673549091209374,25.20202616231629
425,Grigiškės,21,7009228.254469938,19513.79342328106,54.67211489222637,25.094162395391496
426,Vilkpėdė,18,10747060.251439992,22293.18851087172,54.65851228595132,25.220911502545285
427,Senamiestis,16,4406772.086999922,9918.816487090962,54.68314456357192,25.2945429746925
428,Naujamiestis,17,4898427.88506261,12473.603047310593,54.679854561391174,25.26759662117192
429,Rasos,15,16192353.417388648,29813.43696290191,54.64978639275123,25.32092164768263
430,Karoliniškės,10,3763822.3321865,9799.120866391679,54.69003632832248,25.21961209267159
431,Žvėrynas,6,2620711.4544034842,7474.918628620548,54.697937811272276,25.250098853347684
432,Šnipiškės,3,3126406.8279410936,8180.818400464992,54.70524964029977,25.27911373796983
433,Viršuliškės,9,2527282.7250660392,6976.773028201952,54.70944086421192,25.22471663391078
434,Naujoji Vilnia,14,38655582.84421724,37623.36296353608,54.68479017440163,25.408945782624144
435,Šeškinė,5,4462165.80764561,10574.962499927859,54.70987831235237,25.25183658454344
436,Justiniškės,8,2902710.33955168,8500.988336023096,54.71764603225565,25.208089738713007
437,Pilaitė,12,13933524.246549882,23844.008952549015,54.7077744229274,25.154118352060042
438,Žirmūnai,2,5681409.273017094,11693.348874653273,54.711912984724805,25.291937729867705
439,Fabijoniškės,4,6020352.359924375,15419.74964682254,54.74481798879129,25.236918942051275
440,Pašilaičiai,7,8082061.121193773,18361.834540299835,54.74260732010815,25.196958464907276
441,Antakalnis,13,77151869.77248901,53393.50598986119,54.75333480060417,25.38948191275859
442,Verkiai,1,55925614.94759497,51234.886919244265,54.78506472512785,25.29473910896442
